"Date","UserId","AdminHrs1","AdminHrs2","AdminHrs3","ClientHrs1","ClientHrs2","ClientHrs3","TargetClientHrs","TotalWorkingHoursWeek","UtilizacionPercent","ClientTimePercent","AdminTimePercent"
2017-01-01 00:00:00,57,1.0,0.0,14.0,173.0,0.0,0.0,151.2,40,1.193103448275862,1.08125,0.09375
2017-01-01 00:00:00,80,17.0,0.0,0.0,127.5,0.0,0.0,129.6,40,0.8916083916083916,0.796875,0.10625
2017-01-01 00:00:00,134,1.0,1.0,0.0,60.0,10.0,0.0,100.8,40,0.4430379746835443,0.4375,0.0125
2017-01-01 00:00:00,183,0.0,0.0,0.0,281.0,0.0,0.0,151.2,40,1.75625,1.75625,0.0
2017-01-01 00:00:00,205,0.0,0.0,0.0,178.0,0.0,0.0,136.8,40,1.1125,1.1125,0.0
2017-01-01 00:00:00,229,30.0,48.0,11.0,78.0,0.0,0.0,80.0,40,1.0985915492957747,0.4875,0.55625
2017-01-01 00:00:00,241,1.0,7.0,0.0,137.0,0.0,0.0,129.6,40,0.9013157894736842,0.85625,0.05
2017-01-01 00:00:00,249,2.5,2.0,0.0,221.5,0.0,0.0,151.2,40,1.4244372990353698,1.384375,0.028125
2017-01-01 00:00:00,276,9.0,1.0,0.0,144.0,0.0,0.0,126.0,40,0.96,0.9,0.0625
2017-01-01 00:00:00,279,0.0,1.0,0.0,168.0,0.0,0.0,136.8,40,1.0566037735849056,1.05,0.00625
2017-01-01 00:00:00,287,0.0,2.0,0.0,170.0,0.0,0.0,151.2,40,1.0759493670886076,1.0625,0.0125
2017-01-01 00:00:00,303,162.0,5.0,0.0,0.0,0.0,0.0,158.4,40,0.0,0.0,1.04375
2017-01-01 00:00:00,399,0.0,1.0,0.0,163.0,0.0,0.0,129.6,40,1.0251572327044025,1.01875,0.00625
2017-01-01 00:00:00,400,0.0,2.0,0.0,22.0,0.0,0.0,21.6,40,0.13924050632911392,0.1375,0.0125
2017-01-01 00:00:00,402,22.0,5.0,0.0,109.0,0.0,0.0,122.4,40,0.8195488721804511,0.68125,0.16875
2017-01-01 00:00:00,432,12.0,26.0,0.0,130.0,0.0,0.0,126.0,40,1.0655737704918034,0.8125,0.2375
2017-01-01 00:00:00,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0
2017-01-01 00:00:00,522,4.0,0.0,0.0,182.0,0.0,0.0,126.0,40,1.1666666666666667,1.1375,0.025
2017-01-01 00:00:00,541,1.0,2.5,0.0,154.5,21.5,0.0,151.2,40,1.1246006389776357,1.1,0.021875
2017-01-01 00:00:00,611,0.0,27.0,0.0,0.0,0.0,0.0,21.6,40,0.0,0.0,0.16875
2017-01-01 00:00:00,613,7.0,8.0,4.0,116.0,17.5,0.0,108.0,40,0.9468085106382979,0.834375,0.11875
2017-01-01 00:00:00,621,0.0,1.0,0.0,152.0,0.0,0.0,129.6,40,0.9559748427672956,0.95,0.00625
2017-01-01 00:00:00,695,0.0,1.0,0.0,175.0,0.0,0.0,126.0,40,1.10062893081761,1.09375,0.00625
2017-01-01 00:00:00,704,0.5,0.0,0.0,211.0,0.0,0.0,151.2,40,1.322884012539185,1.31875,0.003125
2017-01-01 00:00:00,810,5.0,91.0,0.0,43.0,13.0,0.0,76.0,40,0.875,0.35,0.6
2017-01-01 00:00:00,829,0.0,2.0,0.0,180.0,0.0,0.0,151.2,40,1.139240506329114,1.125,0.0125
2017-01-01 00:00:00,833,8.0,96.0,0.0,47.0,0.0,0.0,144.0,40,0.8392857142857143,0.29375,0.65
2017-01-01 00:00:00,851,3.0,4.0,0.0,245.0,0.0,10.0,126.0,40,1.6666666666666667,1.59375,0.04375
2017-01-01 00:00:00,876,3.0,1.0,0.0,159.0,12.0,0.0,126.0,40,1.0961538461538463,1.06875,0.025
2017-01-01 00:00:00,949,0.0,176.0,0.0,0.0,0.0,0.0,88.0,40,0.0,0.0,1.1
2017-01-01 00:00:00,1000,68.0,0.0,0.0,88.5,3.5,0.0,129.6,40,1.0,0.575,0.425
